Identificacion,Disciplinarias,Contractuales,Fiscales
1157600,0,0,0
1160399,0,0,0
1174976,0,0,0
1178666,0,0,0
1178749,0,0,0
1181002,0,0,0
1187267,0,0,0
1200199,0,0,0
1202185,0,0,0
1204511,0,0,0
1212175,0,0,0
1227758,0,0,0
1234265,0,0,0
1287709,0,0,0
1294672,0,0,0
1299368,0,0,0
1372714,0,0,0
1384966,0,0,0
1425330,0,0,0
1465417,0,0,0
1468635,0,0,0
1472726,0,0,0
1476824,0,0,0
1477395,0,0,0
1480265,0,0,0
1480271,0,0,0
1480342,0,0,0
1480369,0,0,0
1480540,0,0,0
1483312,0,0,0
1496295,0,0,0
1506858,0,0,0
1507581,0,0,0
1523112,0,0,0
1563050,0,0,0
1586149,0,0,0
1591557,0,0,0
1591730,0,0,0
1592939,0,0,0
1598990,0,0,0
1616168,0,0,0
1636120,0,0,0
1643361,0,0,0
1681783,0,0,0
1688569,0,0,0
1709805,0,0,0
1723418,0,0,0
1738617,0,0,0
1785746,0,0,0
1786389,0,0,0
1794804,0,0,0
1797387,0,0,0
1810035,0,0,0
1881864,0,0,0
1892785,0,0,0
1893519,0,0,0
1900745,0,0,0
1910162,0,0,0
1932674,0,0,0
1934240,0,0,0
1941649,0,0,0
1943600,0,0,0
1977489,0,0,0
1977490,0,0,0
1978009,0,0,0
1979040,0,0,0
1979237,0,0,0
1979504,0,0,0
1979850,0,0,0
1979960,0,0,0
1985093,0,0,0
2018161,0,0,0
2121680,0,0,0
2164237,0,0,0
2173690,0,0,0
2193965,0,0,0
2197918,0,0,0
2212959,0,0,0
2228157,0,0,0
2231373,0,0,0
2231519,0,0,0
2231565,0,0,0
2231710,0,0,0
2233188,0,0,0
2234698,0,0,0
2235221,0,0,0
2235405,0,0,0
2254462,0,0,0
2258904,0,0,0
2265308,0,0,0
2275022,0,0,0
2283381,0,0,0
2283579,0,0,0
2375165,0,0,0
2376165,0,0,0
2387804,0,0,0
2461886,0,0,0
2473004,0,0,0
2497816,0,0,0
2499887,0,0,0
2515185,0,0,0
2515560,0,0,0
2517837,0,0,0
2530295,0,0,0
2530296,0,0,0
2606298,0,0,0
2620690,0,0,0
2631972,0,0,0
2680632,0,0,0
2725773,0,0,0
2757058,0,0,0
2757193,0,0,0
2757312,0,0,0
2757756,0,0,0
2757857,0,0,0
2758792,0,0,0
2762575,0,0,0
2762882,0,0,0
2766271,0,0,0
2768341,0,0,0
2768342,0,0,0
2776271,0,0,0
2817842,0,0,0
2864965,0,0,0
2880360,0,0,0
2883381,0,0,0
2894603,0,0,0
2900554,0,0,0
2925653,0,0,0
2935119,0,0,0
2939164,0,0,0
2954674,0,0,0
2955512,0,0,0
2956365,0,0,0
2956376,0,0,0
2956666,0,0,0
2957518,0,0,0
2957528,0,0,0
2961412,0,0,0
2965435,0,0,0
2966155,0,0,0
2969183,0,0,0
2970186,0,0,0
2970914,0,0,0
2972356,0,0,0
2972357,0,0,0
2978890,0,0,0
2979032,0,0,0
2984264,0,0,0
2985428,0,0,0
2986927,0,0,0
2989008,0,0,0
2989086,0,0,0
2990978,0,0,0
2990990,0,0,0
2991076,0,0,0
2991096,0,0,0
2991203,0,0,0
2991243,0,0,0
2991402,0,0,0
2991460,0,0,0
2995598,0,0,0
2996127,0,0,0
2996832,0,0,0
3002534,0,0,0
3003331,0,0,0
3006203,0,0,0
3006230,0,0,0
3006330,0,0,0
3007201,0,0,0
3009737,0,0,0
3010243,0,0,0
3016061,0,0,0
3016161,0,0,0
3017159,0,0,0
3017411,0,0,0
3017970,0,0,0
3022833,0,0,0
3023298,0,0,0
3024927,0,0,0
3027088,0,0,0
3027144,0,0,0
3027484,0,0,0
3027552,0,0,0
3027791,0,0,0
3027961,0,0,0
3028159,0,0,0
3028192,0,0,0
3028319,0,0,0
3029313,0,0,0
3032034,0,0,0
3032904,0,0,0
3033753,0,0,0
3033898,0,0,0
3034006,0,0,0
3043990,0,0,0
3045905,0,0,0
3048105,0,0,0
3054936,0,0,0
3055901,0,0,0
3056200,0,0,0
3056764,0,0,0
3058738,0,0,0
3058764,0,0,0
3064868,0,0,0
3069496,0,0,0
3069592,0,0,0
3070201,0,0,0
3070231,0,0,0
3070469,0,0,0
3076925,0,0,0
3079300,0,0,0
3079456,0,0,0
3080600,0,0,0
3084757,0,0,0
3084951,0,0,0
3085717,0,0,0
3087094,0,0,0
3090026,0,0,0
3090313,0,0,0
3090766,0,0,0
3091124,0,0,0
3091248,0,0,0
3091249,0,0,0
3091446,0,0,0
3093395,0,0,0
3095983,0,0,1
3096538,0,0,0
3096774,0,0,0
3100742,0,0,0
3102608,0,0,0
3103995,0,0,0
3104255,0,0,0
3109177,0,0,0
3116692,0,0,0
3117299,0,0,0
3119223,0,0,0
3120083,0,0,0
3123524,0,0,0
3131303,0,0,0
3131412,0,0,0
3131748,0,0,0
3132902,0,0,0
3142532,0,0,0
3143172,0,0,0
3146731,0,0,0
3149456,0,0,0
3150612,0,0,0
3151582,0,0,0
3152160,0,0,0
3154895,0,0,0
3154999,0,0,0
3155547,0,0,0
3155803,0,0,0
3155888,0,0,0
3158902,0,0,0
3159288,0,0,0
3166049,0,0,0
3166182,0,0,0
3166812,0,0,0
3169240,0,0,0
3169341,0,0,0
3169929,0,0,0
3170320,0,0,0
3170814,0,0,0
3170926,0,0,0
3171056,0,0,0
3173085,0,0,0
3175562,0,0,0
3176110,0,0,0
3178795,0,0,0
3178979,0,0,0
3179024,0,0,0
3179847,0,0,0
3180687,0,0,0
3181317,0,0,0
3182295,0,0,0
3182457,0,0,0
3183820,0,0,0
3184545,0,0,0
3186184,0,0,0
3190341,0,0,0
3195072,0,0,0
3195487,0,0,0
3195576,0,0,0
3197015,0,0,0
3197121,0,0,0
3197393,0,0,0
3199355,0,0,0
3203343,0,0,0
3205850,0,0,0
3207303,0,0,0
3208113,0,0,0
3208730,0,0,0
3209791,0,0,0
3212885,0,0,0
3214010,0,0,0
3215120,0,0,0
3215816,0,0,0
3216161,0,0,0
3217353,0,0,0
3217372,0,0,0
3220475,0,0,0
3220604,0,0,0
3226424,0,0,0
3227714,0,0,0
3229727,0,0,0
3231596,0,0,0
3232188,0,0,0
3234263,0,0,0
3234523,0,0,0
3234573,0,0,0
3234642,0,0,0
3238850,0,0,0
3239029,0,0,0
3242186,0,0,0
3249514,0,0,0
3250461,0,0,0
3251076,0,0,0
3251393,0,0,0
3254210,0,0,0
3254964,0,0,0
3255294,0,0,0
3256182,0,0,0
3256492,0,0,0
3256864,0,0,0
3256967,0,0,0
3259477,0,0,0
3262390,0,0,0
3264700,0,0,0
3272692,0,0,0
3272966,0,0,0
3273139,0,0,0
3273406,0,0,0
3273412,0,0,0
3273795,0,0,0
3274181,0,0,0
3274467,0,0,0
3274777,0,0,0
3275613,0,0,0
3275654,0,0,0
3275720,0,0,0
3276313,0,0,0
3276949,0,0,0
3277136,0,0,0
3277174,0,0,0
3277334,0,0,0
3277370,0,0,0
3294095,0,0,0
3294595,0,0,0
3345954,0,0,0
3347973,0,0,0
3350151,0,0,0
3350716,0,0,0
3352362,0,0,0
3352651,0,0,0
3354870,0,0,0
3360723,0,0,0
3363976,0,0,0
3364175,0,0,0
3369206,0,0,0
3376896,0,0,0
3377483,0,0,0
3377776,0,0,0
3377833,0,0,0
3378360,0,0,0
3380801,0,0,0
3386746,0,0,0
3392774,0,0,0
3411243,0,0,0
3414119,0,0,0
3414277,0,0,0
3420761,0,0,0
3424434,0,0,0
3432805,0,0,0
3434886,0,0,0
3438560,0,0,0
3443530,0,0,0
3446373,0,0,0
3451532,0,0,0
3451829,0,0,0
3454094,0,0,0
3454776,0,0,0
3461741,0,0,0
3473921,0,0,0
3480753,0,0,0
3482179,0,0,0
3482195,0,0,0
3482389,0,0,0
3482589,0,0,0
3483039,0,0,0
3483063,0,0,0
3483885,0,0,0
3486490,0,0,0
3486580,0,0,0
3486648,0,0,0
3486703,0,0,0
3486850,0,0,0
3486886,0,0,0
3486948,0,0,0
3497353,0,0,0
3506352,0,0,0
3513578,0,0,0
3513744,0,0,0
3517528,0,0,0
3517558,0,0,0
3532259,0,0,0
3532432,0,0,0
3532528,0,0,0
3532629,0,0,0
3532669,0,0,0
3532997,0,0,0
3547928,0,0,0
3553932,0,0,0
3557420,0,0,0
3558649,0,0,0
3566160,0,0,0
3567352,0,0,0
3573815,0,0,0
3584886,0,0,0
3585781,0,0,0
3585871,0,0,0
3587827,0,0,0
3589224,0,0,0
3616740,0,0,0
3620885,0,0,0
3622366,0,0,0
3629426,0,0,0
3652925,0,0,0
3654220,0,0,0
3655288,0,0,0
3661635,0,0,0
3664370,0,0,0
3671279,0,0,0
3671573,0,0,0
3671807,0,0,0
3672527,0,0,0
3673226,0,0,0
3715296,0,0,0
3721984,0,0,0
3722404,0,0,0
3724587,0,0,0
3728941,0,0,0
3735965,0,0,0
3741955,0,0,0
3743063,0,0,0
3746238,0,0,0
3746406,0,0,0
3753423,0,0,0
3760485,0,0,0
3764152,0,0,0
3769852,0,0,0
3770146,0,0,0
3770339,0,0,0
3771504,0,0,0
3771991,0,0,0
3777821,0,0,0
3779251,0,0,0
3797680,0,0,0
3800947,0,0,0
3803463,0,0,0
3803908,0,0,0
3804055,0,0,0
3805707,0,0,0
3805767,0,0,0
3806407,0,0,0
3808907,0,0,0
3810933,0,0,0
3811970,0,0,0
3834639,0,0,0
3836961,0,0,0
3838259,0,0,0
3840144,0,0,0
3848676,0,0,0
3848754,0,0,0
3849338,0,0,0
3866735,0,0,0
3886142,0,0,0
3887676,0,0,0
3903718,0,0,0
3903763,0,0,0
3908571,0,0,0
3908804,0,0,0
3913018,0,0,0
3913134,0,0,0
3944372,0,0,0
3952928,0,0,0
3974404,0,0,0
3982149,0,0,0
3984823,0,0,0
3985590,0,0,0
3998133,0,0,0
3998135,0,0,0
3999842,0,0,0
4021885,0,0,0
4023672,0,0,0
4034812,0,0,0
4041099,0,0,0
4041123,0,0,0
4041466,0,0,0
4042073,0,0,0
4047316,0,0,0
4051401,0,0,0
4053605,0,0,0
4053764,0,0,0
4055233,0,0,0
4055506,0,0,0
4058619,0,0,0
4058718,0,0,0
4060408,0,0,0
4061151,0,0,0
4064144,0,0,0
4064174,0,0,0
4064303,0,0,0
4064318,0,0,0
4075448,0,0,0
4076416,0,0,0
4076900,0,0,0
4079329,0,0,0
4079445,0,0,0
4080409,0,0,0
4080483,0,0,0
4080843,0,0,0
4081535,0,0,0
4084120,0,0,0
4085488,0,0,0
4088432,0,0,0
4090696,0,0,0
4096215,0,0,0
4097247,0,0,0
4099402,0,0,0
4099462,0,0,0
4099774,0,0,0
4103744,0,0,0
4103782,0,0,0
4104175,0,0,0
4104264,0,0,0
4112339,0,0,0
4113769,0,0,0
4114546,0,0,0
4116598,0,0,0
4118645,0,0,0
4120288,0,0,0
4121980,0,0,0
4123334,0,0,0
4123482,0,0,0
4132224,0,0,0
4134107,0,0,0
4134212,0,0,0
4134312,0,0,0
4134363,0,0,0
4136399,0,0,0
4136953,0,0,0
4140128,0,0,0
4143252,0,0,0
4143525,0,0,0
4143607,0,0,0
4143797,0,0,0
4143802,0,0,0
4143866,0,0,0
4143944,0,0,0
4143988,0,0,0
4144039,0,0,0
4144109,0,0,0
4144180,0,0,0
4144234,0,0,0
4144322,0,0,0
4144325,0,0,0
4144418,0,0,0
4144948,0,0,0
4145043,0,0,0
4145069,0,0,0
4145204,0,0,0
4147079,0,0,0
4148129,0,0,0
4148292,0,0,0
4148398,0,0,0
4148438,0,0,0
4148512,0,0,0
4148629,0,0,0
4148648,0,0,0
4148788,0,0,0
4148978,0,0,0
4150507,0,0,0
4150743,0,0,0
4150899,0,0,0
4150973,0,0,0
4151907,0,0,0
4153015,0,0,0
4158644,0,0,0
4158923,0,0,0
4158972,0,0,0
4163423,0,0,0
4164120,0,0,0
4168505,0,0,0
4172220,0,0,0
4173139,0,0,0
4177084,0,0,0
4178906,0,0,0
4179178,0,0,0
4179365,0,0,0
4183015,0,0,0
4184185,0,0,0
4186667,0,0,0
4188394,0,0,0
4190564,0,0,0
4191328,0,0,0
4193614,0,0,0
4194090,0,0,0
4194616,0,0,0
4196215,0,0,0
4200988,0,0,0
4204530,0,0,0
4204590,0,0,0
4204599,0,0,0
4204612,0,0,0
4204633,0,0,0
4204643,0,0,0
4206980,0,0,0
4208026,0,0,0
4208453,0,0,0
4210625,0,0,0
4211296,0,0,0
4211591,0,0,0
4211782,0,0,0
4213028,0,0,0
4213083,0,0,0
4213092,0,0,0
4213101,0,0,0
4216731,0,0,0
4221036,0,0,0
4221514,0,0,0
4227497,0,0,0
4232502,0,0,0
4232522,0,0,0
4234680,0,0,0
4235178,0,0,0
4236188,0,0,0
4236620,0,0,0
4237129,0,0,0
4237915,0,0,0
4239373,0,0,0
4239719,0,0,0
4239720,0,0,0
4239947,0,0,0
4245283,0,0,0
4246018,0,0,0
4249010,0,0,0
4250717,0,0,0
4252739,0,0,0
4253023,0,0,0
4253033,0,0,0
4253904,0,0,0
4255216,0,0,0
4255274,0,0,0
4255451,0,0,0
4255557,0,0,0
4264357,0,0,0
4265565,0,0,0
4266094,0,0,0
4269336,0,0,0
4269421,0,0,0
4270632,0,0,0
4272495,0,0,0
4273915,0,0,0
4275933,0,0,0
4275953,0,0,0
4276198,0,0,0
4276450,0,0,0
4276576,0,0,0
4277362,0,0,0
4277443,0,0,0
4277497,0,0,0
4277573,0,0,0
4277656,0,0,0
4277740,0,0,0
4277862,0,0,0
4281681,0,0,0
4282257,0,0,0
4283588,0,0,0
4285739,0,0,0
4285868,0,0,0
4286623,0,0,0
4286660,0,0,0
4286868,0,0,0
4287614,0,0,0
4290488,0,0,0
4290985,0,0,0
4291064,0,0,0
4291336,0,0,0
4292669,0,0,0
4293698,0,0,0
4297630,0,0,0
4297729,0,0,0
4298028,0,0,0
4298067,0,0,0
4304566,0,0,0
4306012,0,0,0
4311786,0,0,0
4313770,0,0,0
4319889,0,0,0
4321377,0,0,0
4323277,0,0,0
4324253,0,0,0
4324419,0,0,0
4324741,0,0,0
4325184,0,0,0
4327094,0,0,0
4337110,0,0,0
4337348,0,0,0
4355030,0,0,0
4356504,0,0,0
4356913,0,0,0
4364795,0,0,0
4366492,0,0,0
4374394,0,0,0
4374856,0,0,0
4375794,0,0,0
4375906,0,0,0
4380719,0,0,0
4380744,0,0,0
4384840,0,0,0
4391994,0,0,0
4400644,0,0,0
4403022,0,0,0
4404058,0,0,0
4404125,0,0,0
4404261,0,0,0
4408066,0,0,0
4408271,0,0,0
4413512,0,0,0
4414333,0,0,0
4416011,0,0,0
4416761,0,0,0
4417052,0,0,0
4419216,0,0,0
4421424,0,0,0
4423340,0,0,0
4424745,0,0,0
4426159,0,0,0
4427215,0,0,0
4427759,0,0,0
4427979,0,0,0
4430932,0,0,0
4441673,0,0,0
4445934,0,0,0
4446705,0,0,0
4452345,0,0,0
4452355,0,0,0
4452742,0,0,0
4453362,0,0,0
4459760,0,0,0
4466359,0,0,0
4468682,0,0,0
4474649,0,0,0
4475428,0,0,0
4478517,0,0,0
4478743,0,0,0
4479353,0,0,0
4479418,0,0,0
4479600,0,0,0
4479791,0,0,0
4512438,0,0,0
4513985,0,0,0
4514580,0,0,0
4516912,0,0,0
4516997,0,0,0
4518777,0,0,0
4519338,0,0,0
4519454,0,0,0
4519881,0,0,0
4520663,0,0,0
4523428,0,0,0
4524143,0,0,0
4530770,0,0,0
4538155,0,0,0
4538358,0,0,0
4539358,0,0,0
4539838,0,0,0
4540065,0,0,0
4543301,0,0,0
4543362,0,0,0
4546565,0,0,0
4549838,0,0,0
4550393,0,0,0
4550821,0,0,0
4551590,0,0,0
4557916,0,0,0
4558537,0,0,0
4558665,0,0,0
4561055,0,0,0
4561185,0,0,0
4561866,0,0,0
4563766,0,0,0
4566708,0,0,0
4571843,0,0,0
4577751,0,0,0
4581843,0,0,0
4582084,0,0,0
4582198,0,0,0
4582386,0,0,0
4585945,0,0,0
4590927,0,0,0
4591207,0,0,0
4597711,0,0,0
4598380,0,0,0
4598989,0,0,0
4610657,0,0,0
4611163,0,0,0
4611759,0,0,0
4611826,0,0,0
4611917,0,0,0
4612401,0,0,0
4612909,0,0,0
4612948,0,0,0
4613934,0,0,0
4614806,0,0,0
4614879,0,0,0
4615171,0,0,0
4615194,0,0,0
4615304,0,0,0
4615739,0,0,0
4615788,0,0,0
4615854,0,0,0
4616184,0,0,0
4616917,0,0,0
4617252,0,0,0
4617628,0,0,0
4619271,0,0,0
4619630,0,0,0
4627032,0,0,0
4627593,0,0,0
4645903,0,0,0
4646627,0,0,0
4652478,0,0,0
4652800,0,0,0
4653042,0,0,0
4653359,0,0,0
4661228,0,0,0
4661837,0,0,0
4661994,0,0,0
4662470,0,0,0
4664099,0,0,0
4664175,0,0,0
4664399,0,0,0
4664460,0,0,0
4664465,0,0,0
4664851,0,0,0
4666872,0,0,0
4666882,0,0,0
4670808,0,0,0
4673593,0,0,0
4675646,0,0,0
4678710,0,0,0
4678881,0,0,0
4678904,0,0,0
4679615,0,0,0
4679645,0,0,0
4679721,0,0,0
4681558,0,0,0
4684051,0,0,0
4688285,0,0,0
4690874,0,0,0
4692910,0,0,0
4695755,0,0,0
4695831,0,0,0
4695860,0,0,0
4696786,0,0,0
4696811,0,0,0
4696835,0,0,0
4696881,0,0,0
4696988,0,0,0
4697786,0,0,0
4698830,0,0,0
4698838,0,0,0
4700366,0,0,0
4700614,0,0,0
4700828,0,0,0
4701434,0,0,0
4701479,0,0,0
4701853,0,0,0
4705696,0,0,0
4708378,0,0,0
4709437,0,0,0
4711879,0,0,0
4712881,0,0,0
4723136,0,0,0
4726538,0,0,0
4727136,0,0,0
4727544,0,0,0
4727682,0,0,0
4727692,0,0,0
4727962,0,0,0
4736332,0,0,0
4736667,0,0,0
4736971,0,0,0
4737277,0,0,0
4737924,0,0,0
4742764,0,0,0
4743023,0,0,0
4751052,0,0,0
4751426,0,0,0
4753832,0,0,0
4755831,0,0,0
4755912,0,0,0
4761443,0,0,0
4763222,0,0,0
4763765,0,0,0
4765744,0,0,0
4767848,0,0,0
4775912,0,0,0
4779804,0,0,0
4779911,0,0,0
4779927,0,0,0
4779971,0,0,0
4784272,0,0,0
4784832,0,0,0
4787425,0,0,0
4787470,0,0,0
4787829,0,0,0
4787860,0,0,0
4794418,0,0,0
4795749,0,0,0
4803414,0,0,0
4803641,0,0,0
4806622,0,0,0
4812364,0,0,0
4816052,0,0,0
4816367,0,0,0
4816378,0,0,0
4816384,0,0,0
4816573,0,0,0
4816677,0,0,0
4816751,0,0,0
4816969,0,0,0
4816982,0,0,0
4816998,0,0,0
4817248,0,0,0
4817467,0,0,0
4819677,0,0,0
4823216,0,0,0
4823264,0,0,0
4823404,0,0,0
4827133,0,0,0
4829023,0,0,0
4829299,0,0,0
4829399,0,0,0
4829489,0,0,0
4829494,0,0,0
4829520,0,0,0
4829675,0,0,0
4829826,0,0,0
4829844,0,0,0
4829861,0,0,0
4829921,0,0,0
4831445,0,0,0
4836266,0,0,0
4837707,0,0,0
4845586,0,0,0
4846474,0,0,0
4846824,0,0,0
4846946,0,0,0
4846983,0,0,0
4847149,0,0,0
4849171,0,0,0
4849270,0,0,0
4849304,0,0,0
4849388,0,0,0
4850218,0,0,0
4850588,0,0,0
4851458,0,0,0
4854371,0,0,0
4857596,0,0,0
4859975,0,0,0
4860006,0,0,0
4860007,0,0,0
4860149,0,0,0
4860199,0,0,0
4860384,0,0,0
4860473,0,0,0
4860588,0,0,0
4870600,0,0,0
4884768,0,0,0
4884919,0,0,0
4888517,0,0,0
4895880,0,0,0
4896465,0,0,0
4897086,0,0,0
4898662,0,0,0
4898688,0,0,0
4899250,0,0,0
4900894,0,0,0
4907786,0,0,0
4908350,0,0,0
4908789,0,0,0
4914163,0,0,0
4918773,0,0,0
4919563,0,0,0
4922766,0,0,0
4924039,0,0,0
4924224,0,0,0
4925327,0,0,0
4925743,0,0,0
4925908,0,0,0
4925971,0,0,0
4927987,0,0,0
4929429,0,0,0
4929455,0,0,0
4930018,0,0,0
4930433,0,0,0
4932473,0,0,0
4935414,0,0,0
4935929,0,0,0
4939907,0,0,0
4943220,0,0,0
4943794,0,0,0
4948763,0,0,0
4951599,0,0,0
4956610,0,0,0
4956640,0,0,0
4979865,0,0,0
4981120,0,0,0
4995372,0,0,0
4995970,0,0,0
5007926,0,0,0
5009879,0,0,0
5013121,0,0,0
5021127,0,0,0
5023065,0,0,0
5030009,0,0,0
5030068,0,0,0
5036181,0,0,0
5036192,0,0,0
5036286,0,0,0
5044734,0,0,0
5045306,0,0,0
5046424,0,0,0
5048209,0,0,0
5048805,0,0,0
5055605,0,0,0
5083043,0,0,0
5084154,0,0,0
5084386,0,0,0
5088178,0,0,0
5092248,0,0,0
5092393,0,0,0
5092452,0,0,0
5097652,0,0,0
5110130,0,0,0
5116044,0,0,0
5117465,0,0,0
5122886,0,0,0
5134932,0,0,0
5135173,0,0,0
5135343,0,0,0
5139382,0,0,0
5163121,0,0,0
5164307,0,0,0
5165289,0,0,0
5172961,0,0,0
5198531,0,0,0
5200806,0,0,0
5202109,0,0,0
5202406,0,0,0
5204046,0,0,0
5204365,0,0,0
5204474,0,0,0
5204490,0,0,0
5204691,0,0,0
5204950,0,0,0
5205136,0,0,0
5205608,0,0,0
5206719,0,0,0
5206721,0,0,0
5206733,0,0,0
5206783,0,0,0
5207053,0,0,0
5207167,0,0,0
5207563,0,0,0
5207652,0,0,0
5207771,0,0,0
5208426,0,0,0
5208636,0,0,0
5208820,0,0,0
5208971,0,0,0
5209801,0,0,0
5209876,0,0,0
5210134,0,0,0
5210137,0,0,0
5210244,0,0,0
5210403,0,0,0
5211711,0,0,0
5212546,0,0,0
5213668,0,0,0
5213864,0,0,0
5216863,0,0,0
5217491,0,0,0
5217706,0,0,0
5218272,0,0,0
5219964,0,0,0
5220185,0,0,0
5226319,0,0,0
5226363,0,0,0
5230529,0,0,0
5230696,0,0,0
5230700,0,0,0
5230742,0,0,0
5230837,0,0,0
5230945,0,0,0
5230960,0,0,0
5230969,0,0,0
5234301,0,0,0
5234318,0,0,0
5234443,0,0,0
5237053,0,0,0
5237255,0,0,0
5237483,0,0,0
5239647,0,0,0
5244757,0,0,0
5244771,0,0,0
5244963,0,0,0
5246274,0,0,0
5248726,0,0,0
5252245,0,0,0
5254419,0,0,0
5255690,0,0,0
5257536,0,0,0
5260367,0,0,0
5261363,0,0,0
5262285,0,0,0
5262585,0,0,0
5262837,0,0,0
5268254,0,0,0
5268314,0,0,0
5268613,0,0,0
5268662,0,0,0
5268971,0,0,0
5269813,0,0,0
5269923,0,0,0
5275357,0,0,0
5276456,0,0,0
5277598,0,0,0
5281721,0,0,0
5281727,0,0,0
5281958,0,0,0
5286623,0,0,0
5286655,0,0,0
5286870,0,0,0
5286871,0,0,0
5286874,0,0,0
5286959,0,0,0
5287022,0,0,0
5287210,0,0,0
5287252,0,0,0
5287269,0,0,0
5287296,0,0,0
5287331,0,0,0
5287471,0,0,0
5287472,0,0,0
5288078,0,0,0
5288285,0,0,0
5288341,0,0,0
5289128,0,0,0
5289788,0,0,0
5289805,0,0,0
5289831,0,0,0
5289866,0,0,0
5289951,0,0,0
5290016,0,0,0
5290060,0,0,0
5290072,0,0,0
5290119,0,0,0
5290167,0,0,0
5290251,0,0,0
5290337,0,0,0
5290357,0,0,0
5290360,0,0,0
5290729,0,0,0
5290806,0,0,0
5290866,0,0,0
5290921,0,0,0
5290951,0,0,0
5291132,0,0,0
5291192,0,0,0
5292040,0,0,0
5292123,0,0,0
5292242,0,0,0
5292713,0,0,0
5292875,0,0,0
5293200,0,0,0
5294595,0,0,0
5302633,0,0,0
5302779,0,0,0
5303223,0,0,0
5307833,0,0,0
5309521,0,0,0
5309711,0,0,0
5312031,0,0,0
5312390,0,0,0
5314166,0,0,0
5314288,0,0,0
5314352,0,0,0
5316207,0,0,0
5316311,0,0,0
5316482,0,0,0
5327483,0,0,0
5328552,0,0,0
5328729,0,0,0
5328985,0,0,0
5332711,0,0,0
5332807,0,0,0
5333782,0,0,0
5337915,0,0,0
5341390,0,0,0
5341717,0,0,0
5341719,0,0,0
5341892,0,0,0
5342204,0,0,0
5342280,0,0,0
5342285,0,0,0
5342298,0,0,0
5342351,0,0,0
5342445,0,0,0
5342497,0,0,0
5344717,0,0,0
5345635,0,0,0
5348681,0,0,0
5348686,0,0,0
5348968,0,0,0
5351723,0,0,0
5352409,0,0,0
5364050,0,0,0
5365175,0,0,0
5365247,0,0,0
5373661,0,0,0
5377915,0,0,0
5398410,0,0,0
5398475,0,0,0
5416323,0,0,0
5416370,0,0,0
5418595,0,0,0
5418625,0,0,0
5420144,0,0,0
5426668,0,0,0
5427176,0,0,0
5439741,0,0,0
5441707,0,0,0
5457272,0,0,0
5457327,0,0,0
5461998,0,0,0
5462125,0,0,0
5462984,0,0,0
5463211,0,0,0
5468680,0,0,0
5468966,0,0,0
5469014,0,0,0
5470085,0,0,0
5470399,0,0,0
5470696,0,0,0
5471226,0,0,0
5478758,0,0,0
